1918 1 1 4 1243 0 0
1917 1 1 4 1243 0 0
1916 1 1 4 1243 0 0
1915 1 1 4 1243 0 0
1913 1 1 4 1243 0 0
1912 1 1 4 1243 0 0
1911 1 1 4 1243 0 0
1910 1 1 4 1243 0 0
1908 1 1 4 1243 0 0
1907 1 1 2 23 0 0
1906 1 1 2 23 0 0
1905 1 1 4 1243 0 0
1904 1 1 4 1243 0 0
1903 1 1 4 1243 0 0
1902 1 1 2 23 0 0
1901 1 1 2 23 0 0
1900 1 1 2 23 0 0
1899 1 1 2 23 0 0
1897 1 1 2 23 0 0
1896 1 1 2 23 0 0
1895 1 1 2 23 0 0
1894 1 1 2 23 0 0
1893 1 1 2 23 0 0
1892 1 1 2 23 0 0
1891 1 1 2 23 0 0
1890 1 1 2 23 0 0
1889 1 1 2 23 0 0
1888 1 1 2 23 0 0
1876 1 1 1 2 0 0
1875 1 1 1 2 0 0
1874 1 1 1 2 0 0
1871 1 1 1 2 0 0
1870 1 1 4 1243 0 0
1869 1 1 4 1243 0 0
1862 1 3 0 0 1 2
1860 1 3 0 0 1 2
1859 1 3 0 0 1 2
1858 1 3 0 0 1 2
1856 1 3 0 0 1 2
1855 1 3 0 0 1 9
1854 1 3 0 0 1 9
1852 1 3 0 0 1 4
1851 1 3 0 0 4 4562
1850 1 3 0 0 4 4562
1848 1 3 0 0 4 4562
1847 1 3 0 0 4 4562
1845 1 3 0 0 4 4562
1844 1 3 0 0 4 4562
1843 1 3 0 0 4 4562
1842 1 3 0 0 4 4562
1841 1 3 0 0 4 4562
1840 1 3 0 0 7 9784562
1839 1 3 0 0 7 9784562
1836 1 3 0 0 4 4562
1833 1 3 0 0 4 4562
1832 1 3 0 0 7 9784562
1831 1 3 0 0 4 4562
1829 1 3 0 0 4 4562
1828 1 3 0 0 4 4562
1827 1 3 0 0 4 4562
1826 1 3 0 0 4 4562
1825 1 3 0 0 4 4562
1824 1 3 0 0 7 9784562
1822 1 3 0 0 4 4562
1821 1 3 0 0 4 4562
1820 1 3 0 0 4 4562
1819 1 3 0 0 4 4562
1818 1 3 0 0 4 4562
1817 1 3 0 0 4 4562
1815 1 3 0 0 4 4562
1814 1 3 0 0 4 4562
1813 1 3 0 0 4 4562
1811 1 3 0 0 4 4562
1809 1 3 0 0 4 4562
1807 1 3 0 0 4 4562
1804 1 3 0 0 4 4562
1803 1 3 0 0 4 4562
1802 1 3 0 0 4 4562
1801 1 3 0 0 4 4562
1799 1 3 0 0 4 4562
1790 1 3 0 0 1 2
1789 1 3 0 0 1 2
1788 1 1 4 1243 0 0
1787 1 1 4 1243 0 0
1785 1 3 0 0 4 4562
1784 1 3 0 0 4 4562
1783 2 13 1 2 3 456
1782 2 13 1 2 3 456
1781 2 13 1 2 3 456
1780 1 1 4 1243 0 0
1778 1 1 4 1243 0 0
1777 1 1 4 1243 0 0
1775 1 1 4 1243 0 0
1769 1 3 0 0 4 4562
1768 1 3 0 0 4 4562
1767 1 3 0 0 4 4562
